# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
342  -18.145   86.474    6.85   2   1     0.59    -0.81    0.020    83.11
343  -16.865   87.533    6.87   2   1     0.68    -0.73    0.020    83.11
344  -15.728   88.744    6.89   2   1     0.77    -0.64    0.020    83.11
345  -14.751   90.087    6.91   2   1     0.84    -0.54    0.020    83.11
346  -13.951   91.543    6.93   2   1     0.90    -0.43    0.020    83.11
347  -13.340   93.088    6.95   2   1     0.95    -0.31    0.020    83.11
348  -12.927   94.697    6.97   2   1     0.98    -0.19    0.020    83.11
349  -12.718   96.345    6.99   2   1     1.00    -0.06    0.020    83.11
350   45.186  146.594    7.01   2   1     1.00     0.06    0.020    83.11
351   44.978  148.242    7.03   2   1     0.98     0.19    0.020    83.11
352   44.565  149.851    7.05   2   1     0.95     0.31    0.020    83.11
353   43.953  151.395    7.07   2   1     0.90     0.43    0.020    83.11
354   43.153  152.851    7.09   2   1     0.84     0.54    0.020    83.11
355   42.177  154.195    7.11   2   1     0.77     0.64    0.020    83.11
356   41.039  155.406    7.13   2   1     0.68     0.73    0.020    83.11
357   39.760  156.465    7.15   2   1     0.59     0.81    0.020    83.11
358   38.357  157.355    7.17   2   1     0.48     0.88    0.020    83.11
359   36.854  158.062    7.19   2   1     0.37     0.93    0.020    83.11
360   35.274  158.576    7.21   2   1     0.25     0.97    0.020    83.11
361   33.642  158.887    7.23   2   1     0.13     0.99    0.020    83.11
362   31.984  158.991    7.25   2   1     0.00     1.00    0.020    83.11
363   30.326  158.887    7.27   2   1    -0.13     0.99    0.020    83.11
364   28.695  158.576    7.29   2   1    -0.25     0.97    0.020    83.11
365   27.115  158.062    7.31   2   1    -0.37     0.93    0.020    83.11
366   25.612  157.355    7.33   2   1    -0.48     0.88    0.020    83.11
367   24.209  156.465    7.35   2   1    -0.59     0.81    0.020    83.11
368   22.929  155.406    7.37   2   1    -0.68     0.73    0.020    83.11
369   21.792  154.195    7.39   2   1    -0.77     0.64    0.020    83.11
370   20.815  152.851    7.41   2   1    -0.84     0.54    0.020    83.11
371   20.015  151.395    7.43   2   1    -0.90     0.43    0.020    83.11
372   19.404  149.851    7.45   2   1    -0.95     0.31    0.020    83.11
373   18.990  148.242    7.47   2   1    -0.98     0.19    0.020    83.11
374   18.782  146.594    7.49   2   1    -1.00     0.06    0.020    83.11
375   18.782  144.933    7.51   2   1    -1.00    -0.06    0.020    83.11
376   18.990  143.284    7.53   2   1    -0.98    -0.19    0.020    83.11
377   19.404  141.675    7.55   2   1    -0.95    -0.31    0.020    83.11
378   20.015  140.131    7.57   2   1    -0.90    -0.43    0.020    83.11
379   20.815  138.675    7.59   2   1    -0.84    -0.54    0.020    83.11
380   21.792  137.331    7.61   2   1    -0.77    -0.64    0.020    83.11
